ticker,group,date,close,r20,r60,r120,rs20,rs60,rs120,ema20,sma50,sma120,atr14,atr_pct,vol20_ann,dist_ema_atr,from_high120,high20_prev,breakout_trigger,pullback_low,pullback_high,stop_ref,stop_pct,adtv20,trend_aligned,rank20,w20,rank60,w60,rank120,w120,score,setup
EWT,International,2026-09-25,114.78,0.05661419497376419,0.08600624467783136,0.6100434843596576,0.05380619787787677,0.04912407539971686,0.4335044346629582,110.71736884306713,105.28299999999999,99.92875000000001,2.268571428571428,0.019764518457670566,0.2706355902779099,1.790832373962851,-0.008979450872042771,115.82,116.04685714285714,109.58308312878142,111.85165455735284,105.05071428571429,-0.08476464291937369,468565999.90650004,True,0.9295774647887324,0.2788732394366197,0.8450704225352113,0.3380281690140845,0.9859154929577465,0.29577464788732394,99.2676056338028,Momentum
ARKK,Industry,2026-09-25,90.77,0.03879606317235074,0.10897984117287729,0.31933139534883725,0.03598806607646332,0.0720976718947628,0.14279234565213783,86.95498245876651,81.6511,79.184,2.2807142857142852,0.025126300382442276,0.35018540950850463,1.6727292695668285,-0.015509761388286414,92.03,92.25807142857143,85.81462531590937,88.09533960162365,80.89964285714287,-0.10874030123231393,404544607.8965,True,0.8873239436619719,0.2661971830985915,0.8873239436619719,0.35492957746478876,0.8873239436619719,0.2661971830985915,96.73239436619718,Momentum
CIBR,Industry,2026-09-25,100.95,0.0016153861157028881,0.10803221125526541,0.5748090344012282,-0.0011926109801845275,0.07115004197715091,0.3982699847045288,99.46750788341858,96.13513332480001,86.55025638455001,2.6446416481428545,0.02619753985282669,0.3563944486417773,0.5605644596962601,-0.031627676097213286,104.247093301,104.51155746581429,98.14518705934715,100.78982870749,94.25501421392858,-0.06631981957475408,168628012.4161548,True,0.7183098591549296,0.2154929577464789,0.8732394366197183,0.3492957746478873,0.971830985915493,0.2915492957746479,93.63380281690141,Momentum
SKYY,Industry,2026-09-25,164.68,-0.01152460984393755,0.20821716801173884,0.48146815401223475,-0.014332606939824966,0.17133499873362434,0.3049291043155353,162.98900071148756,155.7154,140.42358333333334,3.4133499999999963,0.020727167840660653,0.2655237925798624,0.4954075288243062,-0.027920429726698504,169.41,169.75133499999998,161.28232571148757,164.69567571148755,156.553325,-0.049348281515666836,38151661.999,True,0.6338028169014085,0.19014084507042253,0.9436619718309859,0.37746478873239436,0.9295774647887324,0.2788732394366197,92.64788732394366,Pullback watch
USO,RealAsset,2026-09-25,148.33,0.140912237520191,0.4363319453858818,0.06758312940837774,0.13810424042430358,0.39944977610776733,-0.10895592028832168,147.1242001566129,135.62859999999998,131.115,5.781021428571427,0.038974053991582464,0.45711942511525583,0.20857903024329327,-0.09194924514799196,163.3499,163.92800214285714,144.23368944232718,150.0147108708986,139.77948928571428,-0.05764518785333872,907340686.79,True,1.0,0.3,1.0,0.4,0.4788732394366197,0.1436619718309859,92.36619718309859,Momentum
XLK,Sector,2026-09-25,196.27,0.041825565933035325,0.05860747759333074,0.4383165793915016,0.03901756883714791,0.02172530831521624,0.26177752969480217,189.48248305092594,184.27823528321997,178.17071451950832,3.128413587928569,0.015939336566610122,0.19597584299595058,2.169635426487303,-0.010049103158482398,196.68,196.99284135879287,187.91827625696166,191.0466898448902,180.30385627303573,-0.0813478561520572,1275493625.5754712,True,0.9014084507042254,0.2704225352112676,0.7464788732394366,0.29859154929577464,0.9154929577464789,0.27464788732394363,92.36619718309858,Momentum
DBC,RealAsset,2026-09-25,32.62,0.05703175631885937,0.23327032136105852,0.10651289009497944,0.05422375922297196,0.19638815208294402,-0.07002615960171998,32.42128250009514,30.908,29.891916666666663,0.5311357142857135,0.016282517298764978,0.19624315222016878,0.374136957015026,-0.03434270472852363,33.7801,33.833213571428566,32.15571464295228,32.686850357237994,32.05943214285715,-0.017184790225102664,28123442.382,True,0.9436619718309859,0.28309859154929573,0.9577464788732394,0.38309859154929576,0.5774647887323944,0.1732394366197183,91.94366197183099,Momentum
VUG,Factor,2026-09-25,90.94,0.022947131608548776,0.05535569223627701,0.2300645987257779,0.02013913451266136,0.018473522958162514,0.05352554902907847,88.99468807501422,87.59,86.01538908114166,1.0633928571428584,0.01169334569103649,0.14562843765006556,1.8293445474257464,-0.005358203388607041,91.4299,91.53623928571429,88.46299164644279,89.52638450358566,85.94830357142857,-0.054889998114926675,458022492.92550004,True,0.8309859154929577,0.24929577464788732,0.7323943661971831,0.29295774647887324,0.8169014084507042,0.24507042253521127,86.73239436619718,Momentum
XLV,Sector,2026-09-25,170.7,-0.0013198928855375769,0.07404746633118364,0.17657599220445208,-0.0041278899814249925,0.037165297053069146,3.6942507752657505e-05,168.74349765926968,167.13028684382,157.00199715040833,2.279012406642857,0.013350980706753703,0.13398951394216801,0.8584869196093468,-0.029680722678841698,173.817033516,174.0449347566643,167.60399145594826,169.8830038625911,164.4049990656786,-0.03687756844945167,1279048428.2402403,True,0.704225352112676,0.21126760563380279,0.8028169014084507,0.3211267605633803,0.7746478873239436,0.23239436619718307,84.47887323943661,Pullback watch
IBB,Industry,2026-09-25,209.77,-0.023363717045063237,0.10341612444278003,0.2427334998042372,-0.026171714140950653,0.06653395516466554,0.06619445010753777,206.9572399088392,201.72000099928,186.29250876356667,3.951899052214285,0.018839200325186083,0.22339827214384123,0.71174897283492,-0.033799403192031674,215.508212564,215.90340246922142,204.98129038273206,208.93318943494634,198.54405047389287,-0.053515514735696934,313409818.8651363,True,0.5211267605633803,0.15633802816901407,0.8591549295774648,0.3436619718309859,0.8309859154929577,0.24929577464788732,82.92957746478874,Pullback watch
VLUE,Factor,2026-09-25,201.63,0.006411775067370673,0.036428558457419324,0.39012067439753007,0.0036037779714832574,-0.00045361082069517167,0.21358162470083064,200.61944758167036,198.20294767431997,188.46279692749167,2.5452918457857163,0.012623577075761129,0.1483725148047717,0.3970281129069058,-0.019263734709605296,205.242099398,205.49662858257855,199.3468016587775,201.8920935045632,194.06735407710715,-0.0375075431378904,108666472.410291,True,0.7746478873239436,0.23239436619718307,0.676056338028169,0.27042253521126763,0.9014084507042254,0.2704225352112676,82.32394366197182,Pullback watch
QQQ,Broad,2026-09-25,744.5,0.033512566664633425,0.027726253081565178,0.26779227159378327,0.03070456956874601,-0.009155916196549319,0.09125322189708385,724.6790121928277,711.9887343923999,702.4510334542249,9.551201330500012,0.01282901454734723,0.15989025895823478,2.075235053822768,-0.005143322166529352,748.349,749.30412013305,719.9034115275778,729.4546128580777,694.4953101347501,-0.06716546657521816,23910406898.713417,True,0.8732394366197183,0.2619718309859155,0.6338028169014085,0.25352112676056343,0.8450704225352113,0.2535211267605634,81.90140845070422,Pullback watch
EWJ,International,2026-09-25,97.93,0.02180717863105186,0.05244492208490059,0.15066088590203774,0.018999181535164444,0.015562752806786095,-0.02587816379466168,97.03176562897046,95.3734,92.86244452994168,1.5149285714285707,0.015469504456536002,0.18406418907636776,0.5929219291062116,-0.01090798909201085,99.01,99.16149285714286,96.27430134325617,97.78922991468475,94.34753571428571,-0.0365818879374481,391308502.517,True,0.8169014084507042,0.24507042253521127,0.7183098591549296,0.28732394366197184,0.6619718309859155,0.19859154929577463,81.09859154929576,Momentum
IGV,Industry,2026-09-25,106.01,-0.03906816533720081,0.1357403042639811,0.3177936185601322,-0.041876162433088226,0.0988581349858666,0.1412545688634328,105.19940230720763,101.3828,94.73889995517499,2.366350000000001,0.022321950759362334,0.32538953136136867,0.3425519017864518,-0.041240842904947006,110.57,110.806635,104.01622730720763,106.38257730720764,101.80682499999999,-0.03964885388170947,995609209.533,True,0.352112676056338,0.10563380281690139,0.9014084507042254,0.36056338028169016,0.8732394366197183,0.2619718309859155,80.81690140845069,Pullback watch
SPY,Broad,2026-09-25,771.35,0.0028079970958874156,0.036882169278114496,0.17653904969669942,0.0,0.0,0.0,764.7933862355791,759.9081379299599,741.684017529525,6.806619434285698,0.008824294333682113,0.10793616211209305,0.9632702147845307,-0.007832933572585632,775.14,775.8206619434286,761.3900765184362,768.1966959527219,744.3400585148571,-0.03501645360101502,33405214015.188,True,0.7464788732394366,0.223943661971831,0.704225352112676,0.28169014084507044,0.7605633802816901,0.22816901408450702,78.38028169014083,Pullback watch
SMH,Industry,2026-09-25,606.56,0.05856893542757402,-0.02240273345582322,0.531794535077529,0.055760938331686605,-0.05928490273393772,0.3552554853808296,576.8867026256015,565.8906000000001,562.4902500000001,15.582671428571432,0.025690239100124364,0.34463319249932695,1.9042496988026898,-0.09715255347334906,608.665,610.2232671428571,569.0953669113158,584.6780383398873,529.9386642857143,-0.12632111532953982,3665232002.2630005,True,0.9577464788732394,0.2873239436619718,0.38028169014084506,0.15211267605633805,0.9577464788732394,0.2873239436619718,77.67605633802816,Avoid / broken
IWF,Factor,2026-09-25,126.25,0.019965494530964856,0.027178711740663886,0.1717661264597674,0.01715749743507744,-0.00970345753745061,-0.004772923236932014,123.63791259063683,122.05473526744001,121.570862676425,1.5529605156428568,0.012300677351626588,0.15204206657240155,1.6820050368646247,-0.020639797070710064,126.975,127.13029605156429,122.8614323328154,124.41439284845826,118.94851974217856,-0.05783350699264511,476786155.04076636,True,0.8028169014084507,0.24084507042253522,0.6197183098591549,0.24788732394366197,0.7464788732394366,0.223943661971831,76.26760563380282,Pullback watch
SOXX,Industry,2026-09-25,572.68,0.09063907758784295,-0.044431398137101286,0.6661620212255757,0.08783108049195554,-0.08131356741521578,0.48962297152887624,537.1632686960827,526.34675767092,524.74215189665,16.480393974642848,0.028777666366282827,0.4006949112927796,2.155089942544104,-0.1263747381090914,573.52,575.1680393974642,528.9230717087613,545.4034656834041,486.5862229826786,-0.1503348764009942,3794558478.1180367,True,0.9859154929577465,0.29577464788732394,0.2676056338028169,0.10704225352112676,1.0,0.3,75.28169014084507,Avoid / broken
XLE,Sector,2026-09-25,62.04,0.0019110481693722647,0.18176555937053207,0.05326704370174351,-0.0008969489265151509,0.14488339009241757,-0.12327200599495591,63.028444909064,61.42743344048,58.334807122425,1.321450139214284,0.02129997000667769,0.2087382180611729,-0.7480001550809297,-0.05683785415736986,65.778721372,65.91086638592144,62.36771983945686,63.68916997867114,60.75927493039286,-0.020643537550082747,2111980257.0009956,False,0.7323943661971831,0.21971830985915494,0.9295774647887324,0.37183098591549296,0.43661971830985913,0.13098591549295774,75.25352112676056,Pullback watch
